36720
45
300423308
209406323
 0 1 1 120 719  8 (D 0,1,1) (S 201,1,116) (S 202,116,117) (S 205,117,118) (S 41,118,118) (S 212,121,122) (S 175,97,98) (D 0,1,1)
 0 1 2 119 386  9 (D 0,1,1) (S 40,115,115) (S 200,115,116) (S 203,115,117) (S 206,117,119) (S 42,119,119) (S 207,119,120) (S 159,86,87) (D 0,1,1)
 0 1 3 118 429  8 (D 0,1,1) (S 204,2,117) (S 211,120,121) (S 214,122,123) (S 43,123,123) (S 215,123,124) (S 44,124,124) (D 0,1,1)
 0 1 4 118 516  6 (D 0,1,1) (S 199,114,115) (S 208,114,118) (S 210,118,121) (S 163,90,91) (D 0,1,1)
 0 1 5 120 535  8 (D 0,1,1) (S 216,120,123) (S 217,123,125) (S 236,125,138) (S 48,136,136) (S 234,136,138) (S 196,112,113) (D 0,1,1)
 0 1 6 118 593  12 (D 0,1,1) (S 198,113,114) (S 189,107,108) (S 38,108,108) (S 180,94,101) (S 186,104,105) (S 187,105,106) (S 192,107,110) (S 193,110,111) (S 194,110,112) (S 195,107,112) (D 0,1,1)
 0 1 7 119 584  9 (D 0,1,1) (S 213,87,122) (S 160,86,88) (S 161,88,89) (S 166,89,92) (S 153,82,83) (S 34,90,90) (S 162,88,90) (D 0,1,1)
 0 1 8 119 561  4 (D 0,1,1) (S 191,108,109) (S 39,109,109) (D 0,1,1)
 0 1 9 117 519  6 (D 0,1,1) (S 37,106,106) (S 185,102,104) (S 190,106,108) (S 188,106,107) (D 0,1,1)
 0 1 10 119 648  6 (D 0,1,1) (S 184,91,103) (S 197,103,113) (S 209,91,118) (S 219,124,126) (D 0,1,1)
 0 1 11 120 624  9 (D 0,1,1) (S 151,80,81) (S 167,82,92) (S 155,82,84) (S 168,84,92) (S 157,84,85) (S 33,84,84) (S 158,85,86) (D 0,1,1)
 0 1 12 120 858  10 (D 0,1,1) (S 45,126,126) (S 220,126,127) (S 221,127,128) (S 223,128,129) (S 224,127,129) (S 227,131,132) (S 228,132,133) (S 133,67,69) (D 0,1,1)
 0 1 13 118 601  8 (D 0,1,1) (S 225,126,130) (S 226,126,131) (S 46,131,131) (S 229,133,134) (S 231,134,135) (S 47,135,135) (D 0,1,1)
 0 1 14 117 554  7 (D 0,1,1) (S 179,94,100) (S 35,94,94) (S 182,101,102) (S 36,101,101) (S 183,102,103) (D 0,1,1)
 0 1 15 120 808  6 (D 0,1,1) (S 230,133,135) (S 232,134,136) (S 233,136,137) (S 222,3,128) (D 0,1,1)
 0 1 16 118 584  9 (D 0,1,1) (S 32,83,83) (S 149,79,80) (S 150,79,81) (S 31,81,81) (S 154,81,83) (S 156,83,84) (S 152,80,82) (D 0,1,1)
 0 1 17 119 915  5 (D 0,1,1) (S 105,43,46) (S 218,4,124) (S 235,131,138) (D 0,1,1)
 0 1 18 120 745  7 (D 0,1,1) (S 172,94,95) (S 173,95,96) (S 174,96,97) (S 177,97,99) (S 127,63,64) (D 0,1,1)
 0 1 19 120 725  12 (D 0,1,1) (S 104,46,47) (S 98,42,43) (S 88,35,36) (S 103,42,47) (S 146,46,77) (S 145,76,77) (S 29,76,76) (S 147,77,78) (S 148,78,79) (S 30,79,79) (D 0,1,1)
 0 1 20 120 614  9 (D 0,1,1) (S 25,66,66) (S 131,66,67) (S 26,67,67) (S 132,67,68) (S 134,69,70) (S 135,70,71) (S 137,71,72) (D 0,1,1)
 0 1 21 120 684  6 (D 0,1,1) (S 181,66,101) (S 171,93,94) (S 136,69,71) (S 165,66,91) (D 0,1,1)
 0 1 22 119 565  5 (D 0,1,1) (S 28,72,72) (S 27,69,69) (S 164,68,90) (D 0,1,1)
 0 1 23 119 808  7 (D 0,1,1) (S 142,71,75) (S 143,75,76) (S 102,34,45) (S 140,73,74) (S 144,74,76) (D 0,1,1)
 0 1 24 117 746  9 (D 0,1,1) (S 138,72,73) (S 139,72,74) (S 16,44,44) (S 101,44,45) (S 17,45,45) (S 121,45,60) (S 23,60,60) (D 0,1,1)
 0 1 25 117 817  9 (D 0,1,1) (S 118,57,58) (S 126,62,63) (S 169,64,93) (S 128,64,65) (S 116,55,56) (S 24,63,63) (S 170,63,93) (D 0,1,1)
 0 1 26 119 783  7 (D 0,1,1) (S 119,58,59) (S 22,59,59) (S 120,59,60) (S 122,60,61) (S 108,48,49) (D 0,1,1)
 0 1 27 117 893  7 (D 0,1,1) (S 240,58,70) (S 125,57,62) (S 130,62,66) (S 123,59,61) (S 114,49,140) (D 0,1,1)
 0 1 28 116 859  7 (D 0,1,1) (S 115,54,55) (S 237,55,140) (S 117,56,57) (S 176,96,99) (S 178,99,100) (D 0,1,1)
 0 1 29 116 858  5 (D 0,1,1) (S 100,43,44) (S 141,44,73) (S 86,34,139) (D 0,1,1)
 0 1 30 120 789  8 (D 0,1,1) (S 89,35,37) (S 12,35,35) (S 13,38,38) (S 90,36,37) (S 99,37,43) (S 97,37,42) (D 0,1,1)
 0 1 31 119 1095  10 (D 0,1,1) (S 91,36,38) (S 92,38,39) (S 14,39,39) (S 93,39,40) (S 94,40,41) (S 15,41,41) (S 95,38,41) (S 79,28,29) (D 0,1,1)
 0 1 32 117 849  8 (D 0,1,1) (S 238,54,140) (S 109,48,50) (S 20,53,53) (S 50,140,140) (S 21,54,54) (S 129,56,65) (D 0,1,1)
 0 1 33 119 992  7 (D 0,1,1) (S 63,13,17) (S 4,11,11) (S 106,33,139) (S 49,139,139) (S 87,34,35) (D 0,1,1)
 0 1 34 117 1164  5 (D 0,1,1) (S 80,28,30) (S 124,49,61) (S 96,41,47) (D 0,1,1)
 0 1 35 118 1052  7 (D 0,1,1) (S 113,53,140) (S 107,48,139) (S 57,11,12) (S 58,12,13) (S 65,17,18) (D 0,1,1)
 0 1 36 120 1040  8 (D 0,1,1) (S 85,11,33) (S 110,50,51) (S 18,50,50) (S 111,51,52) (S 19,51,51) (S 112,52,53) (D 0,1,1)
 0 1 37 120 1089  7 (D 0,1,1) (S 239,11,27) (S 78,27,28) (S 10,30,30) (S 83,30,32) (S 74,24,25) (D 0,1,1)
 0 1 38 119 1043  7 (D 0,1,1) (S 5,12,12) (S 68,12,20) (S 70,20,22) (S 8,22,22) (S 77,25,27) (D 0,1,1)
 0 1 39 116 1074  6 (D 0,1,1) (S 84,29,33) (S 6,13,13) (S 59,13,14) (S 7,14,14) (D 0,1,1)
 0 1 40 114 1120  9 (D 0,1,1) (S 64,13,16) (S 62,15,17) (S 66,18,19) (S 3,9,9) (S 67,10,19) (S 60,10,15) (S 61,15,16) (D 0,1,1)
 0 1 41 117 1246  8 (D 0,1,1) (S 81,30,31) (S 11,31,31) (S 9,26,26) (S 82,26,31) (S 76,23,26) (S 53,6,8) (D 0,1,1)
 0 1 42 118 1172  6 (D 0,1,1) (S 54,8,9) (S 55,9,10) (S 56,8,11) (S 2,6,6) (D 0,1,1)
 0 1 43 112 1226  6 (D 0,1,1) (S 52,6,7) (S 1,5,5) (S 51,5,6) (S 72,20,24) (D 0,1,1)
 0 1 44 104 1098  4 (D 0,1,1) (S 75,25,26) (S 73,23,24) (D 0,1,1)
 0 1 45 113 1140  4 (D 0,1,1) (S 69,20,21) (S 71,21,23) (D 0,1,1)
