338
10
112184875
29770624
 0 1 1 70 101  19 (D 0,1,1) (S 82,1,9) (S 46,9,14) (S 7,14,14) (S 43,14,23) (S 14,23,23) (S 90,23,29) (S 18,29,29) (S 49,29,30) (S 19,30,30) (S 34,30,38) (S 24,38,38) (S 33,38,46) (S 37,46,50) (S 31,50,50) (S 30,49,49) (S 23,37,37) (S 110,38,36) (D 0,1,1)
 0 1 2 70 89  13 (D 0,1,1) (S 94,1,16) (S 9,16,16) (S 10,17,17) (S 36,17,24) (S 15,24,24) (S 85,24,23) (S 107,23,24) (S 61,29,23) (S 8,15,15) (S 38,15,24) (S 69,29,24) (D 0,1,1)
 0 1 3 42 inf  8 (D 0,1,1) (S 105,1,10) (S 72,10,17) (S 40,17,31) (S 20,31,31) (S 95,31,32) (S 54,32,40) (D 0,1,1)
 0 1 4 69 inf  12 (D 0,1,1) (S 3,5,5) (S 109,5,6) (S 4,6,6) (S 74,6,5) (S 5,11,11) (S 48,11,18) (S 11,18,18) (S 78,19,32) (S 112,32,31) (S 114,32,19) (D 0,1,1)
 0 1 5 69 105  14 (D 0,1,1) (S 60,9,1) (S 76,9,13) (S 6,13,13) (S 66,13,22) (S 13,22,22) (S 58,22,14) (S 53,14,15) (S 73,15,23) (S 100,15,16) (S 96,17,30) (S 79,30,24) (S 115,36,38) (D 0,1,1)
 0 1 6 14 inf  5 (D 0,1,1) (S 108,10,11) (S 103,11,12) (S 32,12,19) (D 0,1,1)
 0 1 7 38 inf  9 (D 0,1,1) (S 91,12,7) (S 93,7,12) (S 97,12,11) (S 57,30,17) (S 25,39,39) (S 77,39,30) (S 89,39,40) (D 0,1,1)
 0 1 8 47 inf  9 (D 0,1,1) (S 84,8,13) (S 87,8,9) (S 99,39,38) (S 44,36,44) (S 64,44,37) (S 102,37,29) (S 111,39,31) (D 0,1,1)
 0 1 9 10 inf  3 (D 0,1,1) (S 62,47,40) (D 0,1,1)
 0 1 10 7 43  3 (D 0,1,1) (S 70,47,39) (D 0,1,1)
